text,response,task_name
Do you like to read?,"Yes, I love to read, especially horror and romance novels. What type of books do you like?",rightAmount
Do you have any siblings?,"Yes, I have two sisters. Do you have any siblings?",rightAmount
Have you seen the latest Marvel movie?,"No, I haven't seen it yet. Are you planning on seeing it?",rightAmount
Do you like to ski?,"No, I don't like to ski. Do you like to ski?",rightAmount
Do you like to play video games?,"Yes, I love to play video games. What type of video games do you like to play?",rightAmount
Do you have any pets?,"No, I don't have any pets. Do you have any pets?",rightAmount
Did you do anything fun this weekend?,"No, I didn't do anything fun this weekend. Did you do anything fun this weekend?",rightAmount
Do you like to go hiking?,"No, I don't like to go hiking. Do you like to go hiking?",rightAmount
Do you have any siblings?,"Yes, I have an older brother and a younger sister. Do you have any siblings?",rightAmount
Do you like to go out or stay in on your days off?,I like to stay in on my days off. I do enough running around during the week. What do you like to do on your days off?,rightAmount
Are you a morning person or a night person?,I'm definitely a night person. I can't function in the morning. How about you?,rightAmount
Do you like spicy food?,I love spicy food. I can't get enough of it. Do you like spicy food?,rightAmount
Do you like to cook?,"Yes, I love to cook. It's one of my favorite hobbies. Do you like to cook?",rightAmount
Do you have any plans for the weekend?,"Not really, but I was thinking of staying in and watching some movies. Do you have any plans?",rightAmount
What did you do this morning?,I read my new book and made myself breakfast. How about you,rightAmount
What did you do last night,"I watched a movie with my friend, do you have Netflix? You should watch it",rightAmount
Do you have any plans for the weekend?,"Not really, but I was thinking of staying in and watching some movies. Do you have any plans?",rightAmount
What do you like to do for fun,"I love hikin gin the outdoors or going to the beach, how about you?",rightAmount
Do you enjoy traveling?,"Yes, I love traveling to new places. Have you traveled anywhere interesting lately?",rightAmount
Do you play any musical instruments?,I play the guitar. Do you play any instruments?,rightAmount
Do you like watching sports?,"Yes, I'm a big football fan. What about you? Do you watch any sports?",rightAmount
Are you interested in art?,"Yes, I love visiting art galleries. Do you have any interest in art?",rightAmount
Do you prefer coffee or tea?,I'm definitely a coffee person. How about you?,rightAmount
