text,response,task_type,task_name
I'm just started learning a new language:  Swahili.,That's so impressive! You're so dedicated.,new,giveCompliments
I just scored my first goal ever!,Way to go! That's awesome!,new,giveCompliments
I just finished reading Crime and Punishment by Fyodor Dostoevsky.,That's fantastic! What was it about?,new,giveCompliments
I just graduated from college. Can't wait to start working!,That's incredible! Congrats on all your hard work.,new,giveCompliments
I got an early promotion at work.,That's amazing! Congratulations on your success!,new,giveCompliments
I just won my first piano competition.,"Wow, fantastic! I'm so happy for you. How did it feel to win?",new,giveCompliments
I'm learning to play the guitar.,You're so multitalented. How do you make the time to do it?,new,giveCompliments
I just started a new business.,That's wonderful! I'm sure it'll be successful.,new,giveCompliments
I just aced the bar exam!,Great job! I'm so happy for you.,new,giveCompliments
I just completed my first marathon.,Fantastic job! That's an impressive feat.,new,giveCompliments
I finished painting a mural.,It looks incredible. You have great artistic talent!,new,giveCompliments
I just got a promotion.,Congratulations! That's an impressive accomplishment.,new,giveCompliments
I just got my first book published.,That's amazing! Congratulations on your book!,new,giveCompliments
I just passed my driving test.,Well done! That's an important milestone.,new,giveCompliments
I built a chess-playing robot in my free time.,Impressive! You must be so talented.,new,giveCompliments
I got a call back for a play.,That's wonderful! Break a leg for your audition!,new,giveCompliments
I bought a new car.,Cool! That must feel great to have a new set of wheels.,new,giveCompliments
I hiked up a mountain.,Incredible! You must have a lot of stamina.,new,giveCompliments
I graduated college with honors.,Fantastic! You must have worked really hard to get that accomplishment.,new,giveCompliments
I solved a crossword puzzle.,Good job! You must be a real wordsmith!,new,giveCompliments
